Years,Inflation,Quality,RealexchangeRate 
1974,2.047,93.89777,102.8313211
1975,2.048,93.89778,108.3189782
1976,2.049,93.89779,100.540379
1977,2.05,93.8978,100.4987827
1978,2.051,93.89781,99.33705803
1979,2.052,93.89782,90.77650132
1980,2.053,93.89783,100.2453984
1981,2.054,93.89784,107.1795056
1982,2.055,93.89785,90.78160727
1983,2.056,93.89786,103.3799617
1986,2.054,93.89797,101.0858344
1989,2.052,93.89808,97.35845507
1992,2.05,93.89819,95.04659691
1995,2.048,93.8983,91.4521304
1987,3.123,94.32227,86.37833071
1988,2.021,93.89797,87.86117996
1989,1.054,94.32797,90.31648849
1989,1.254,91.8329797,88.88915166
1990,2.354,89.89797,89.89769349
1991,3.054,90.89797,94.38904654
1992,2.024,94.12397,101.5052206
1993,0.054,93.11797,90.43487973
1994,2.054,93.23797,91.44103258
1995,1.054,89.89797,93.85573251
1996,2.054,93.47826385,98.90697925
1997,3.112,93.46754,102.7953182
1998,2.385,95.10869598,98.59545912
1999,2.135,96.78673,102.1746056
2000,2.37,94.56521606,103.6889515
2001,2.929,94.56789,105.329125
2002,2.188,92.97297668,106.298752
2003,1.304,90.8108139,89
2004,2.791,91.54228973,99.73207351
2005,3.008,90.68627167,95.24221951
2006,2.774,92.15686035,82.13115799
2007,1.249,93.20388031,96.48750789
2008,4.259,94.6601944,91.54798416
2009,2.084,97.12918854,87.21888663
2010,1.516,98.56459045,92.21951158
2011,2.963,95.73459625,93.51921663
2012,2.376,96.20853424,80.80549685
2013,1.18,94.78672791,81.84988314
2014,0.31,91.82691956,93.12373096
2015,1.101,91.90476227,85.19583249
2016,0.643,92.38095093,79.19935939
2017,1.364,93.80952454,90.19511353
2018,1.158,94.76190186,81.94520348
2019,1.642,89.52381134,88.34234613
2020,0.639,94.76190186,95.4028002
2021,1.498,84.76190186,99.13253568
2022,6.154,83.49056244,100.8329519
2023,4.134,83.67464,95.24155973
